Plattform,Jahr ,Künstler,Song,Platzierung
Spotify,06/2024,Filow,Rasenschach,33
Spotify,06/2024,"Gzuz, Bonez MC",Frisch aus der Trap,34
Spotify,06/2024,"Adam Prt, Stryv, Keinemusik, Orso, Malachiii",Move,35
Spotify,06/2024,"Central Cee, Lil Baby",BAND4BAND (feat. Lil Baby),36
Spotify,06/2024,Tommy Richman,MILLION DOLLAR BABY,37
Spotify,06/2024,HoodBlaq,MONEY I LOVE IT,38
Spotify,06/2024,"SDP, Sido, Esther Graf",Mama hat gesagt,39
Spotify,06/2024,"Olexesh, Ataypapi, ilo 7araga",Pistoleta,40
Spotify,06/2024,"Kurdo, CAPO",Alors (feat. CAPO),41
Spotify,06/2024,CIVO,Mach die Augen auf,42
Spotify,06/2024,Lithe,Fall Back,43
Spotify,06/2024,Dasha,Austin (Boots Stop Workin'),44
Spotify,06/2024,Amo,Amo aller Amos,45
Spotify,06/2024,Pashanim,Ms. Jackson,46
Spotify,06/2024,"HoodBlaq, Luciano",BLAQ ON BLAQ (feat. Luciano),47
Spotify,06/2024,YAKARY,BEI MIR,48
Spotify,06/2024,Aditotoro & paulomuc,Füllkrug,49
Spotify,06/2024,Billie Eilish,LUNCH,50
TikTok,06/2024,$OHO BANI & Herbert Grönemeyer & Ericson,"ZEIT, DASS SICH WAS DREHT",1
TikTok,06/2024,Peter Schilling,Major Tom (Völlig losgelöst) [Single Version],2
TikTok,06/2024,Olexesh & Ataypapi & ilo 7araga,Pistoleta,3
TikTok,06/2024,GReeeN,Panama,4
TikTok,06/2024,Kurdo  ,Magie,5
TikTok,06/2024,Ayliva,Beifahrer,6
TikTok,06/2024,Kurdo & CAPO,Alors,7
TikTok,06/2024,Lune,Bisou :*,8
TikTok,06/2024,Peter Schilling,Major Tom (...völlig losgelöst),9
TikTok,06/2024,Nisa,Auf geht's Deutschland,10
TikTok,06/2024,Ayliva & Apache 207,Wunder,11
TikTok,06/2024,Calvin Kleinen & Kreisligalegende & Isi Glück,Finale,12
TikTok,06/2024,Musso,MEER GEWEINT,13
TikTok,06/2024,Jiyo & Rap La Rue,Coco Chanel,14
TikTok,06/2024,FloyyMenor  ,GATA ONLY,15
TikTok,06/2024,Dardan & Azet,Pa Mu,16
TikTok,06/2024,SDP & Sido & Esther Graf,Mama hat gesagt,17
TikTok,06/2024,Jörg und Dragan (Die Autohändler) & Remmi Demmi Boys,Deutschland sind wir (Fußball Hymne),18
TikTok,06/2024,Amo,Amo aller Amos,19
