ID,Song,Künstler/Band,Aufrufe Spotify,Wochen in Charts,Tik toks DE mit diesem Song,Jahr ,Erscheinungsjahr,Plattform,Platz
1.21,Ohne Dich,"KASIMIR1441, badmómzjay, WILDBWOYS",128.856.449,,,2021,2021,Spotify,1
2.21,Friday (feat. Mufasa & Hypeman) – Dopamine Re-Edit,Riton,983.734.422,,,2021,2021,Spotify,2
3.21,STAY (with Justin Bieber),The Kid LAROI,3.125.768.788,,,2021,2021,Spotify,3
4.21,Madonna,"Bausa, Apache 207",138.673.039,,,2021,2021,Spotify,4
5.21,Sommergewitter,Pashanim,201.360.643,,,2021,2021,Spotify,5
6.21,Astronaut In The Ocean,Masked Wolf,1.255.061.707,,,2021,2021,Spotify,6
7.21,The Business,Tiësto,1.196.871.443,,,2021,2020,Spotify,7
8.21,MONTERO (Call Me By Your Name),Lil Nas X,1.906.897.747,,,2021,2021,Spotify,8
9.21,Heat Waves,Glass Animals,3.015.635.534,,,2021,2020,Spotify,9
10.21,good 4 u,Olivia Rodrigo,2.178.377.193,,,2021,2021,Spotify,10
11.21,Wellerman,Nathan Evans,408.604.247,97,,2021,2021,Charts,1
12.21,Bad Habits,Ed Sheeran,1.760.704.546,87,,2021,2021,Charts,2
13.21,The Business,Tiësto,1.196.871.443,68,,2021,2020,Charts,3
14.21,Friday (feat. Mufasa & Hypeman) – Dopamine Re-Edit,Riton,983.734.422,70,,2021,2021,Charts,4
15.21,Save your tears,The Weeknd,2.008.179.510,104,,2021,2020,Charts,5
16.21,STAY (with Justin Bieber),The Kid LAROI,3.125.768.788,72,,2021,2021,Charts,6
17.21,Love tonight,Shouse,102.630.275,69,,2021,2017,Charts,7
18.21,Youre Love (9pm),"atb, Topic, A7S",724.606.644,58,,2021,2021,Charts,8
19.21,Blinding Lights,The Weeknd,4.302.516.548,142,,2021,2020,Charts,9
20.21,good 4 u,Olivia Rodrigo,2178377193,60,,2021,2021,Charts,10
21.21,Beggin,Maneskin,1.612.728.435,,180.000,2021,2017,Tik Tok,1
22.21,Lieben Wir ,Shirin David,67.395.818,,141.000,2021,2021,Tik Tok,2
23.21,Auf & Ab,Montez,175.333.213,,91.000,2021,2021,Tik Tok,3
24.21,Dinero,Trinidad Cardona,294.975.137,,81.000,2021,2018,Tik Tok,4
25.21,His & Hers,Internet Money & Gunna ,225.427.412,,65.000,2021,2021,Tik Tok,5
26.21,Sommergewitter,Pashanim,201.360.643,,63.000,2021,2021,Tik Tok,6
27.21,blau,Luna,31.127.317,,58.000,2021,2021,Tik Tok,7
28.21,SUNNY DAY,Matteo Rossanese,5.936,,56.000,2021,2021,Tik Tok,8
29.21,Nice To Meet Ya,Wes Nelson,131.233.459,,56.000,2021,2021,Tik Tok,9
30.21,good 4 u,Olivia Rodrigo,2.178.377.193,,53.000,2021,2021,Tik Tok,10
